Month,Date,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Ishaa
January,1,6:34,8:26,12:14,2:10,4:01,5:05
January,2,6:34,8:26,12:14,2:10,4:02,5:06
January,3,6:34,8:26,12:14,2:12,4:03,5:06
January,4,6:34,8:25,12:15,2:13,4:05,5:07
January,5,6:33,8:25,12:15,2:14,4:06,5:07
January,6,6:33,8:25,12:16,2:16,4:08,5:08
January,7,6:33,8:24,12:16,2:17,4:09,5:10
January,8,6:33,8:24,12:17,2:18,4:10,5:11
January,9,6:32,8:23,12:17,2:19,4:12,5:13
January,10,6:32,8:23,12:18,2:21,4:13,5:13
January,11,6:31,8:22,12:18,2:22,4:14,5:15
January,12,6:31,8:21,12:18,2:24,4:15,5:16
January,13,6:30,8:20,12:19,2:25,4:17,5:17
January,14,6:30,8:19,12:19,2:27,4:19,5:19
January,15,6:29,8:18,12:19,2:29,4:20,5:20
January,16,6:28,8:17,12:20,2:30,4:22,5:22
January,17,6:28,8:16,12:20,2:32,4:24,5:23
January,18,6:27,8:15,12:20,2:33,4:26,5:25
January,19,6:26,8:14,12:21,2:35,4:28,5:26
January,20,6:25,8:13,12:21,2:37,4:30,5:28
January,21,6:24,8:12,12:21,2:39,4:32,5:30
January,22,6:23,8:11,12:22,2:40,4:34,5:31
January,23,6:22,8:09,12:22,2:42,4:36,5:33
January,24,6:21,8:08,12:22,2:44,4:38,5:35
January,25,6:20,8:06,12:22,2:46,4:39,5:36
January,26,6:19,8:05,12:23,2:47,4:41,5:38
January,27,6:18,8:03,12:23,2:49,4:43,5:40
January,28,6:17,8:01,12:23,2:51,4:45,5:41
January,29,6:15,8:00,12:23,2:53,4:47,5:43
January,30,6:14,7:58,12:23,2:53,4:49,5:45
January,31,6:13,7:56,12:23,2:56,4:51,5:46
February,1,6:11,7:55,12:24,2:58,4:53,5:48
February,2,6:10,7:53,12:24,3:00,4:55,5:50
February,3,6:08,7:52,12:24,3:02,4:57,5:52
February,4,6:07,7:50,12:24,3:04,4:59,5:54
February,5,6:05,7:48,12:24,3:06,5:01,5:55
February,6,6:04,7:46,12:24,3:08,5:03,5:57
February,7,6:02,7:44,12:24,3:09,5:05,5:59
February,8,6:01,7:42,12:24,3:11,5:07,6:01
February,9,5:59,7:40,12:24,3:13,5:09,6:03
February,10,5:57,7:38,12:24,3:15,5:11,6:04
February,11,5:55,7:36,12:24,3:17,5:13,6:06
February,12,5:54,7:34,12:24,3:19,5:15,6:08
February,13,5:52,7:32,12:24,3:21,5:17,6:10
February,14,5:50,7:30,12:24,3:22,5:19,6:12
February,15,5:48,7:28,12:24,3:24,5:21,6:14
February,16,5:46,7:26,12:24,3:26,5:23,6:15
February,17,5:44,7:24,12:24,3:28,5:25,6:17
February,18,5:42,7:22,12:24,3:30,5:27,6:19
February,19,5:40,7:20,12:24,3:31,5:29,6:21
February,20,5:38,7:18,12:24,3:33,5:31,6:23
February,21,5:36,7:15,12:24,3:35,5:33,6:25
February,22,5:34,7:13,12:24,3:37,5:35,6:27
February,23,5:32,7:11,12:23,3:39,5:37,6:28
February,24,5:30,7:08,12:23,3:40,5:39,6:30
February,25,5:28,7:06,12:23,3:42,5:41,6:32
February,26,5:26,7:04,12:23,3:44,5:43,6:34
February,27,5:24,7:02,12:23,3:46,5:45,6:36
February,28,5:22,7:00,12:23,3:47,5:47,6:38
February,29,5:20,6:58,12:23,3:48,5:49,6:40
March,1,5:19,6:57,12:22,3:49,5:49,6:40
March,2,5:17,6:55,12:22,3:51,5:51,6:41
March,3,5:14,6:52,12:22,3:52,5:53,6:43
March,4,5:12,6:50,12:22,3:54,5:55,6:45
March,5,5:09,6:48,12:22,3:56,5:56,6:47
March,6,5:07,6:45,12:21,3:57,5:58,6:49
March,7,5:05,6:43,12:21,3:59,6:00,6:51
March,8,5:02,6:40,12:21,4:01,6:02,6:53
March,9,5:00,6:38,12:21,4:02,6:04,6:55
March,10,4:57,6:35,12:20,4:04,6:06,6:57
March,11,4:55,6:33,12:20,4:05,6:08,6:58
March,12,4:52,6:31,12:20,4:07,6:10,7:00
March,13,4:50,6:29,12:20,4:09,6:12,7:02
March,14,4:47,6:26,12:19,4:10,6:14,7:04
March,15,4:45,6:23,12:19,4:12,6:15,7:06
March,16,4:42,6:20,12:19,4:13,6:17,7:08
March,17,4:39,6:18,12:18,4:15,6:19,7:10
March,18,4:37,6:16,12:18,4:16,6:21,7:12
March,19,4:34,6:13,12:18,4:18,6:23,7:14
March,20,4:32,6:11,12:18,4:19,6:25,7:16
March,21,4:29,6:09,12:17,4:21,6:27,7:18
March,22,4:26,6:06,12:17,4:22,6:29,7:20
March,23,4:23,6:04,12:17,4:24,6:30,7:22
March,24,4:21,6:01,12:16,4:25,6:32,7:24
March,25,4:18,5:59,12:16,4:27,6:34,7:26
March,26,4:15,5:56,12:16,4:28,6:36,7:28
March,27,4:12,5:54,12:15,4:29,6:38,7:30
March,28,4:10,5:51,12:15,4:31,6:40,7:32
March,29,4:07,5:49,12:15,4:32,6:42,7:34
March,30,4:04,5:46,12:15,4:34,6:43,7:36
March,31,4:01,5:44,12:14,4:35,6:45,7:38
April,1,4:58,6:41,1:14,5:36,7:47,8:40
April,2,4:55,6:39,1:14,5:38,7:49,8:42
April,3,4:52,6:37,1:13,5:39,7:51,8:44
April,4,4:49,6:35,1:13,5:40,7:53,8:46
April,5,4:46,6:32,1:13,5:42,7:55,8:48
April,6,4:43,6:30,1:12,5:43,7:56,8:50
April,7,4:41,6:27,1:12,5:44,7:58,8:52
April,8,4:38,6:25,1:12,5:46,8:00,8:54
